RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,1.554793E+10,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,4941628,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000103,退休撫卹,0,,0,,0,,0,,2.353605E+09,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000103,退休撫卹,0,,0,,0,,0,,158950,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,1.0888E+09,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000102,經常支出_其他,0,,0,,0,,0,,7014426,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,2300400002,資本支出,0,,0,,0,,0,,4.984767E+09,,387040000E,教育局,2018/2/7 下午 04:43:33,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a007,國民小學教育經費支出(預、決算數)-預算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,1279692,,387040000E,教育局,2018/2/7 下午 04:43:33,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,1.564503E+10,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,4912504,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000103,退休撫卹,0,,0,,0,,0,,2.463979E+09,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000103,退休撫卹,0,,0,,0,,0,,132491,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,9.357505E+08,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000102,經常支出_其他,0,,0,,0,,0,,5624752,,387040000E,教育局,2018/2/2 上午 11:08:39,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,2300400002,資本支出,0,,0,,0,,0,,3.918314E+08,,387040000E,教育局,2018/2/7 下午 04:43:33,2018/2/8 下午 05:32:05
10440-01-04-2,臺中市國民小學教育經費支出(預、決算數),1044001a008,國民小學教育經費支出(預、決算數)-決算數(單位:元),2017/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,1.065616E+07,,387040000E,教育局,2018/2/7 下午 04:43:33,2018/2/8 下午 05:32:05
